marca,clase,servicio,cantidad
CHANGAN,Furgoneta C,PARTICULAR,69
CHEVROLET,Camión,ESTADO,68
TOYOTA,Jeep,MUNNICIPIO,68
INTERNATIONAL,Jeep,PARTICULAR,67
INTERNATIONAL,Volqueta,ALQUILER,66
MAZDA,Automóvil,ESTADO,65
INTERNATIONAL,Tanquero,PARTICULAR,65
HYUNDAI,Otra Clase,PARTICULAR,65
DAYUN,Motocicleta,PARTICULAR,64
ISUZU,Furgoneta C,PARTICULAR,64
CITROEN,Furgoneta C,PARTICULAR,64
FAW,Furgoneta C,PARTICULAR,63
RENAULT,Furgoneta P,PARTICULAR,63
MITSUBISHI,Otra Clase,PARTICULAR,63
LAND ROVER,Camioneta,PARTICULAR,62
SCANIA,Trailer,PARTICULAR,62
NISSAN,Volqueta,MUNNICIPIO,62
HINO,Volqueta,ESTADO,62
MAZDA,Furgoneta P,ALQUILER,61
TOYOTA,Otra Clase,PARTICULAR,61
VOLVO,Trailer,PARTICULAR,60
PORSCHE,Jeep,PARTICULAR,59
MERCEDES BENZ,Tanquero,ALQUILER,58
NISSAN,Jeep,ESTADO,57
TOYOTA,Autobus,PARTICULAR,57
KIA,Camión,ALQUILER,57
ISUZU,Camioneta,ESTADO,56
DODGE,Jeep,PARTICULAR,56
TOYOTA,Furgoneta P,ALQUILER,56
MACK,Volqueta,ALQUILER,56
FREIGHTLINER,Volqueta,PARTICULAR,56
DACIA,Camioneta,PARTICULAR,56
ZANYA,Motocicleta,PARTICULAR,55
ASIA,Furgoneta C,ALQUILER,55
JINBEI HAISE,Furgoneta C,ALQUILER,55
MERCEDES BENZ,Furgoneta C,ALQUILER,55
TOYOTA,Motocicleta,PARTICULAR,54
NISSAN,Tanquero,PARTICULAR,52
FORD,Trailer,ALQUILER,50
FAW,Camioneta,PARTICULAR,50
HINO,Trailer,ALQUILER,50
MAN,Volqueta,PARTICULAR,50
OSAKA,Motocicleta,PARTICULAR,48
Otras Marcas,Tanquero,PARTICULAR,48
MITSUBISHI,Camioneta,ALQUILER,48
SAIC WULING,Camioneta,PARTICULAR,47
DONGFENG,Autobus,ALQUILER,47
SUZUKI,Motocicleta,ESTADO,47
